name,min_price,prices,sizes,inches,Art,Print,Wall,art,Decor,print,Gift,Printable,Poster,Abstract,wall,decor,Watercolor,of,Nursery,Digital,Prints,Large,Modern,Download
"Did You Wash Your Hands, Bathroom Art, Giclée Fine Art Print, Western Art Print, Western Wall Art, Trendy Bathroom Decor, UNFRAMED",18.0,"['18.00', '26.00', '32.00', '40.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('16', '20')]",1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorful and highly textured Mosaic Planter. Sure to jazz up your house or garden.,40.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portrait sans visage, illustration personnalisée, photo personnalisée, portrait personnalisé, cadeau petit ami, cadeau petite amie",2.7,"['2.70 - $5.70', '5.40 - $12.00', '7.20 - $13.80', '11.40 - $23.40']",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paris Photography, “Graffiti Woman” Large Art Print, Modern Wall Art, Minimalist Fine Art Photography Black and White Print, Gift for Her",18.0,"['18.00', '28.00', '48.00', '78.00', '148.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('16', '20'), ('24', '30')]",1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"Pink Flower Print, Floral Print, Red Peony Print, Red Flower Art, Pink Flower, Flower Art, Peony Art",18.03,"['18.03', '25.87']","[('8', '10'), ('11', '14')]",1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navy Blue Abstract Print ~ Printable Wall Art ~  Watercolour Brush Stroke Painting ~ Hamptons Beach House Style Decor,5.8,,,,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Watercolor Butterfly Art Print. Butterfly Poster. Butterfly Painting. Blue and Orange Butterflies. Nature Wall Art Decor. Nursery Wall Art.,18.0,"['18.00', '28.00', '54.00', '54.00', '84.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '12'), ('16', '20')]",1.0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"Peony Wall Art, Flower Still Life Photography, Floral Wall Art, Bedroom Decor, Pale Pink Botanical Print",13.6,"['13.60', '25.50', '29.75', '42.50', '46.75', '51.00', '55.25', '76.50', '80.75', '93.50', '114.75', '119.00', '148.75', '161.50']","[('5', '7'), ('8', '10'), ('8', '12'), ('11', '14'), ('11', '17'), ('12', '16'), ('12', '18'), ('16', '20'), ('16', '24'), ('18', '24'), ('20', '24'), ('20', '30'), ('24', '30'), ('24', '36')]",1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butterfly Print. Pink & Gray Watercolor Butterfly Art Print. Soft Pink Butterfly Art. Watercolor Butterfly Poster. Modern Nursery Art.,18.0,"['18.00', '28.00', '54.00', '54.00', '84.00']","[('5', '7'), ('8', '10'), ('11', '14'), ('12', '12'), ('16', '20')]",1.0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
"Blush Prints, Blush Pink Watercolor Art, Printable Watercolor, Blush Wall Art, Bedroom Wall Art, Abstract Art, Watercolor Flower, Pink Rose",6.0,,,,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
"Tree Stump Print, Utah Art, Tree Blocks, Woodcut print, Forestry, Signed Original, 36x48 inches",225.0,,,,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dark Gray Contemporary Wall Art, Large Abstract Art Print in Silver, Black, White, Modern Artwork",100.0,"['100.00', '200.00', '260.00']","[('8', '14')]",1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"German Paper Origami Star Ornaments Sculpture (3 inch, Vintage Music)",7.44,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The magic door - Paris illustration Art Illustration Print  Paris decor Art Print Home decor Kids  Paris facade Blue Turquoise,61.87,"['61.87', '67.03', '96.24', '109.99', '122.02', '139.21']","[('11', '14'), ('12', '16'), ('16', '20'), ('20', '24'), ('20', '30'), ('24', '30')]",1.0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Portofino Italy Painting on Canvas, Original Painting, Italy Wall Art, Modern Art, Seascape Painting, Living Room Wall Decor, Home Decor",313.65,,,,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Expressive Abstract Wall Art: Bold Colourful Retro Graphic 4-Set of Prints with Matisse Style Hand-Drawn Portrait Illustrations,15.17,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
New York city US Vintage Travel Poster | New York Print | New York Travel Print | Wall Art | New York Poster | Skyline Art | New York Gift,20.25,"['20.25', '25.09', '35.93', '43.22', '72.34', '56.23', '74.98', '104.98', '127.48', '224.98']","[('16', '20'), ('24', '36')]",1.0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Video Game Birthday Invitation, Invitation Card, Video Game Invite Card, Video Game Birthday Invite, Video Game Printable, Neon Invite 065",6.27,,,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
